,Pais,Monedas
0,Afganistán,Afgani afgano
1,Albania,Lek albanés
2,Alemania,Euro
3,Andorra,Euro
4,Angola,Kwanza angoleño
5,Antigua y Barbuda,Dólar del Caribe Oriental
6,Arabia Saudita,Riyal saudí
7,Argelia,Dinar argelino
8,Argentina,Peso
9,Armenia,Dram armenio
10,Australia,Dólar australiano
11,Austria,Euro
12,Azerbaiyán,Manat azerí
13,Bahamas,Dólar bahameño
14,Bangladés,Taka bangladeshí
15,Barbados,Dólar de Barbados
16,Baréin,Dinar bahreiní
17,Bélgica,Euro
18,Belice,Dólar beliceño
19,Benín,Franco CFA de África Occidental
20,Bielorrusia,Rublo bielorruso
21,Birmania,Kyat birmano
22,Bolivia,Boliviano
23,Bosnia-Herzegovina,Marco convertible
24,Botsuana,Pula
25,Brasil,Real brasileño
26,Brunéi,Dólar de Brunéi
27,Bulgaria,Lev búlgaro
28,Burkina Faso,Franco CFA de África Occidental
29,Burundi,Franco de Burundi
30,Bután,Ngultrum butanés
31,Cabo Verde,Escudo caboverdiano
32,Camboya,Riel camboyano
33,Camerún,Franco CFA de África Central
34,Canadá,Dólar canadiense
35,Catar,Riyal qatarí
36,Chad,Franco CFA de África Central
37,Chile,Peso chileno
38,China,Yuan chino
39,Chipre Chipre,Euro
40,Colombia,Peso colombiano
41,Comoras,Franco comorano
42,Congo,Franco CFA de África Central
43,Corea del Norte,Won norcoreano
44,Corea del Sur,Won surcoreano
45,Costa de Marfil,Franco CFA de África Occidental
46,Costa Rica,Colón costarricense
47,Croacia,Kuna croata
48,Cuba,Peso cubano
49,Dinamarca,Corona danesa
50,Dominica,Dólar del Caribe Oriental
51,Ecuador,Dólar estadounidense
52,Egipto,Libra egipcia
53,El Salvador,Dólar estadounidense
54,Emiratos Árabes Unidos,Dirham de los Emiratos Árabes Unidos
55,Eritrea,Nakfa
56,Eslovaquia,Euro
57,Eslovenia,Euro
58,España,Euro
59,Estados Unidos,Dólar estadounidense
60,Estonia,Euro
61,Etiopía,Birr etíope
62,Filipinas,Peso filipino
63,Finlandia,Euro
64,Fiyi,Dólar fiyiano
65,Francia,Euro
66,Gabón,Franco CFA de África Central
67,Gambia,Dalasi
68,Georgia,Lari georgiano
69,Ghana,Cedi
70,Granada,Dólar del Caribe Oriental
71,Grecia,Euro
72,Guatemala,Quetzal guatemalteco
73,Guinea,Franco guineano
74,Guinea Ecuatorial,Franco CFA de África Central
75,Guinea-Bisáu,Franco CFA de África Occidental
76,Guyana,Dólar guyanés
77,Haití,Gourde haitiano
78,Honduras,Lempira hondureño
79,Hungría,Forinto húngaro
80,India,Rupia india
81,Indonesia,Rupia indonesia
82,Irak,Dinar iraquí
83,Irán,Rial iraní
84,Irlanda,Euro
85,Islandia,Corona islandes
86,Islas Marshall,Dólar estadounidense
87,Islas Salomón,Dólar de las Islas Salomón
88,Israel,Nuevo shéquel
89,Italia,Euro
90,Jamaica,Dólar jamaiquino
91,Japón,Yen
92,Jordania,Dinar jordano
93,Kazajistán,Tenge kazajo
94,Kenia,Chelín keniano
95,Kirguistán,Som kirguís
96,Kiribati,Dólar australiano
97,Kosovo,Euro
98,Kuwait,Dinar kuwaití
99,Laos,Kip laosiano
100,Lesoto,Loti
101,Letonia,Euro
102,Líbano,Libra libanesa
103,Liberia,Dólar liberiano
104,Libia,Dinar libio
105,Liechtenstein,Franco suizo
106,Lituania,Euro
107,Luxemburgo,Euro
108,Macedonia,Denar macedonio
109,Madagascar,Ariary malgache
110,Malasia,Ringgit malayo
111,Malaui,Kwacha malauí
112,Maldivas,Rupia de Maldivas
113,Malí,Franco CFA de África Occidental
114,Malta,Euro
115,Marruecos,Dirham marroquí
116,Mauricio,Rupia de Mauricio
117,Mauritania,Uguiya
118,México,Peso mexicano
119,Micronesia,Dólar estadounidense
120,Moldavia,Leu moldavo
121,Mónaco,Euro
122,Mongolia,Tugrik mongol
123,Montenegro,Euro
124,Mozambique,Metical mozambiqueño
125,Namibia Namibia,Dólar namibio
126,Nauru Nauru,Dólar australiano
127,Nepal Nepal,Rupia nepalí
128,Nicaragua Nicaragua,Córdoba nicaragüense
129,Niger Níger,Franco CFA de África Occidental
130,Nigeria Nigeria,Naira
131,Noruega Noruega,Corona noruega
132,Nueva-Zelanda Nueva Zelanda,Dólar neozelandés
133,Oman Omán,Rial omaní
134,Países Bajos,Euro
135,Pakistán,Rupia pakistaní
136, Palaos,Dólar estadounidense
137, Palestina,Nuevo shéquel
138,Panamá,Balboa panameño
139,Papúa Nueva Guinea,Kina
140,Paraguay,Guaraní
141,Perú,Nuevo sol
142,Polonia,Zloty
143,Portugal,Euro
144,Reino Unido,Libra británica
145,República Centroafricana,Franco CFA de África Central
146,República Checa,Corona checa
147,República Democrática del Congo,Franco congoleño
148,República Dominicana,Peso dominicano
149,Ruanda,Franco ruandés
150,Rumania,Leu rumano
151,Rusia,Rublo ruso
152,Samoa,Tala
153,San Cristóbal y Nieves,Dólar del Caribe Oriental
154,San Marino,Euro
155,San Vicente y las Granadinas,Dólar del Caribe Oriental
156,Santa Lucía,Dólar del Caribe Oriental
157,Santo Tomé y Príncipe,Dobra
158,Senegal,Franco CFA de África Occidental
159,Serbia,Dinar serbio
160,Seychelles,Rupia de Seychelles
161,Sierra Leona,Leone
162,Singapur,Dólar de Singapur
163,Siria,Libra siria
164,Somalia,Chelín somalí
165,Sri Lanka,Rupia de Sri Lanka
166,Suazilandia,Lilangeni
167,Sudáfrica,Rand sudafricano
168,Sudán,Libra sudanesa
169,Sudán del Sur,Libra sursudanesa
170,Suecia,Corona sueca
171,Suiza,Franco suizo
172,Surinam,Dólar surinamés
173,Tailandia,Baht tailandés
174,Taiwán,Nuevo dólar taiwanés
175,Tanzania,Chelín tanzano
176,Tayikistán,Somoni tayiko
177,Timor Oriental,Dólar estadounidense
178,Togo,Franco CFA de África Occidental
179,Tonga,Pa'anga
180,Trinidad y Tobago,Dólar trinitense
181,Túnez,Dinar tunecino
182,Turkmenistán,Manat turcomano
183,Turquía,Lira turca
184,Tuvalu,Dólar australiano
185,Ucrania,Grivna
186,Uganda,Chelín ugandés
187,Uruguay,Peso uruguayo
188,Uzbekistán,Som uzbeko
189,Vanuatu,Vatu
190,Vaticano,Euro
191,Venezuela,Bolívar fuerte
192,Vietnam,Dong vietnamita
193,Yemen,Rial yemení
194,Yibuti,Franco yibutiano
195,Zambia,Kwacha zambiano
196,Zimbabue,Dólar estadounidense
